t,i,j,trade_usd_thousands,qty_tons,i_iso3,i_name,j_iso3,j_name,direction
2010,156,702,31238276.230000008,6585788.077999995,CHN,China,SGP,Singapore,partner_to_asean
2010,156,704,21228759.36800003,10702045.063999988,CHN,China,VNM,Viet Nam,partner_to_asean
2010,156,764,25109762.58599997,7990976.347000004,CHN,China,THA,Thailand,partner_to_asean
2010,251,96,13769.273,3023.5460000000003,FRA,France,BRN,Brunei Darussalam,partner_to_asean
2010,251,104,30151.38600000002,3940.526999999999,FRA,France,MMR,Myanmar,partner_to_asean
2010,251,116,74322.16199999994,17266.973999999984,FRA,France,KHM,Cambodia,partner_to_asean
2010,251,360,1504978.620000003,342848.5680000005,FRA,France,IDN,Indonesia,partner_to_asean
2010,251,418,55782.93000000001,1127.4530000000002,FRA,France,LAO,Lao People's Dem. Rep.,partner_to_asean
2010,251,458,2194056.0469999993,352606.53899999964,FRA,France,MYS,Malaysia,partner_to_asean
2010,251,608,873351.0460000009,95607.70500000023,FRA,France,PHL,Philippines,partner_to_asean
2010,251,702,7106897.670000011,433187.86199999845,FRA,France,SGP,Singapore,partner_to_asean
2010,251,704,1118930.1789999965,176798.4530000008,FRA,France,VNM,Viet Nam,partner_to_asean
2010,251,764,1502186.3449999974,315693.73899999744,FRA,France,THA,Thailand,partner_to_asean
2010,276,96,77038.76299999999,3759.007000000001,DEU,Germany,BRN,Brunei Darussalam,partner_to_asean
2010,276,104,30183.49,2133.0399999999995,DEU,Germany,MMR,Myanmar,partner_to_asean
2010,276,116,44495.40200000002,10020.380000000005,DEU,Germany,KHM,Cambodia,partner_to_asean
2010,276,360,2892441.209999995,752792.3879999998,DEU,Germany,IDN,Indonesia,partner_to_asean
2010,276,418,22513.677999999993,2338.9880000000007,DEU,Germany,LAO,Lao People's Dem. Rep.,partner_to_asean
2010,276,458,6530117.539999999,1420736.5610000046,DEU,Germany,MYS,Malaysia,partner_to_asean
2010,276,608,1434135.6580000028,202902.58099999957,DEU,Germany,PHL,Philippines,partner_to_asean
2010,276,702,8294480.267999994,656300.2719999977,DEU,Germany,SGP,Singapore,partner_to_asean
2010,276,704,2133703.7669999995,330057.60399999976,DEU,Germany,VNM,Viet Nam,partner_to_asean
2010,276,764,4279349.102000012,765597.2890000014,DEU,Germany,THA,Thailand,partner_to_asean
2010,360,56,971664.5459999996,335048.4449999992,IDN,Indonesia,BEL,Belgium,asean_to_partner
2010,360,156,20188754.36500001,133282466.55999988,IDN,Indonesia,CHN,China,asean_to_partner
2010,360,251,2075307.402999999,421200.423,IDN,Indonesia,FRA,France,asean_to_partner
2010,360,276,4873515.924000002,1603823.8359999931,IDN,Indonesia,DEU,Germany,asean_to_partner
2010,360,380,2787308.154999994,8455948.36300001,IDN,Indonesia,ITA,Italy,asean_to_partner
2010,360,392,29310262.146000028,61656306.04200009,IDN,Indonesia,JPN,Japan,asean_to_partner
2010,360,410,13724295.20099998,55389750.35600014,IDN,Indonesia,KOR,Rep. of Korea,asean_to_partner
2010,360,528,3280486.569999985,5488405.427000009,IDN,Indonesia,NLD,Netherlands,asean_to_partner
2010,360,616,695268.8679999989,795057.9200000032,IDN,Indonesia,POL,Poland,asean_to_partner
2010,360,724,2560371.7550000045,3400744.270000008,IDN,Indonesia,ESP,Spain,asean_to_partner
2010,360,752,193691.50499999968,44314.63699999989,IDN,Indonesia,SWE,Sweden,asean_to_partner
2010,360,826,2396956.428999996,1234378.858999999,IDN,Indonesia,GBR,United Kingdom,asean_to_partner
2010,360,842,17829318.533999998,6471478.279000004,IDN,Indonesia,USA,USA,asean_to_partner
2010,380,96,21803.797000000013,1943.8819999999985,ITA,Italy,BRN,Brunei Darussalam,partner_to_asean
2010,380,104,24472.557999999994,2395.2109999999984,ITA,Italy,MMR,Myanmar,partner_to_asean
2010,380,116,25716.500999999997,1815.4309999999996,ITA,Italy,KHM,Cambodia,partner_to_asean
2010,380,360,959746.8090000008,428706.19199999934,ITA,Italy,IDN,Indonesia,partner_to_asean
2010,380,418,16809.258,3431.9009999999985,ITA,Italy,LAO,Lao People's Dem. Rep.,partner_to_asean
2010,380,458,1433137.695000001,205010.31400000033,ITA,Italy,MYS,Malaysia,partner_to_asean
2010,380,608,337469.7009999999,150222.379,ITA,Italy,PHL,Philippines,partner_to_asean
2010,380,702,2597822.355000001,387194.4650000008,ITA,Italy,SGP,Singapore,partner_to_asean
2010,380,704,952233.127999999,375636.8700000002,ITA,Italy,VNM,Viet Nam,partner_to_asean
2010,380,764,1503211.286999998,289006.42299999954,ITA,Italy,THA,Thailand,partner_to_asean
2010,392,96,252696.93999999983,297106.9089999994,JPN,Japan,BRN,Brunei Darussalam,partner_to_asean
2010,392,104,374292.5350000002,54269.759999999966,JPN,Japan,MMR,Myanmar,partner_to_asean
2010,392,116,226855.707,48623.122999999985,JPN,Japan,KHM,Cambodia,partner_to_asean
2010,392,360,15284282.824999996,3968995.8660000023,JPN,Japan,IDN,Indonesia,partner_to_asean
2010,392,418,75993.95699999997,9525.745,JPN,Japan,LAO,Lao People's Dem. Rep.,partner_to_asean
2010,392,458,20097673.048000008,4710475.784999992,JPN,Japan,MYS,Malaysia,partner_to_asean
2010,392,608,10552387.336999994,3561180.2020000014,JPN,Japan,PHL,Philippines,partner_to_asean
2010,392,702,24243688.930999972,10150566.832000038,JPN,Japan,SGP,Singapore,partner_to_asean
2010,392,704,9255285.870999996,3688495.807999995,JPN,Japan,VNM,Viet Nam,partner_to_asean
2010,392,764,36266946.13900006,9281559.925999982,JPN,Japan,THA,Thailand,partner_to_asean
2010,410,96,87829.76600000003,55152.50299999978,KOR,Rep. of Korea,BRN,Brunei Darussalam,partner_to_asean
2010,410,104,631674.9160000009,421274.414999999,KOR,Rep. of Korea,MMR,Myanmar,partner_to_asean
2010,410,116,382996.0749999999,135742.1919999997,KOR,Rep. of Korea,KHM,Cambodia,partner_to_asean
2010,410,360,7964956.666999988,5588070.026000021,KOR,Rep. of Korea,IDN,Indonesia,partner_to_asean
2010,410,418,100616.82900000004,28447.08700000001,KOR,Rep. of Korea,LAO,Lao People's Dem. Rep.,partner_to_asean
2010,410,458,8942265.354999999,2976952.105000002,KOR,Rep. of Korea,MYS,Malaysia,partner_to_asean
2010,410,608,5834980.435999983,2266982.1749999933,KOR,Rep. of Korea,PHL,Philippines,partner_to_asean
2010,410,702,16860347.703999996,6863253.59200001,KOR,Rep. of Korea,SGP,Singapore,partner_to_asean
2010,410,704,10509809.002000028,4920403.268999985,KOR,Rep. of Korea,VNM,Viet Nam,partner_to_asean
2010,410,764,7884021.556000001,3315355.7210000027,KOR,Rep. of Korea,THA,Thailand,partner_to_asean
2010,418,56,10782.981000000002,2009.8469999999995,LAO,Lao People's Dem. Rep.,BEL,Belgium,asean_to_partner
2010,418,156,703719.5099999999,819707.6440000001,LAO,Lao People's Dem. Rep.,CHN,China,asean_to_partner
2010,418,251,29742.036000000007,2115.257999999999,LAO,Lao People's Dem. Rep.,FRA,France,asean_to_partner
2010,418,276,70744.23800000001,7145.17,LAO,Lao People's Dem. Rep.,DEU,Germany,asean_to_partner
2010,418,380,17938.544000000005,3070.870999999999,LAO,Lao People's Dem. Rep.,ITA,Italy,asean_to_partner
2010,418,392,45922.35200000001,8707.552000000007,LAO,Lao People's Dem. Rep.,JPN,Japan,asean_to_partner
2010,418,410,20269.43499999999,12581.189000000004,LAO,Lao People's Dem. Rep.,KOR,Rep. of Korea,asean_to_partner
2010,418,528,16717.749000000003,1296.561999999999,LAO,Lao People's Dem. Rep.,NLD,Netherlands,asean_to_partner
2010,418,616,9553.781999999996,5074.5710000000045,LAO,Lao People's Dem. Rep.,POL,Poland,asean_to_partner
2010,418,724,8269.083999999999,967.957,LAO,Lao People's Dem. Rep.,ESP,Spain,asean_to_partner
2010,418,752,1552.6389999999997,230.53499999999997,LAO,Lao People's Dem. Rep.,SWE,Sweden,asean_to_partner
2010,418,826,95809.68,45789.22100000001,LAO,Lao People's Dem. Rep.,GBR,United Kingdom,asean_to_partner
2010,418,842,69675.98399999998,11475.968,LAO,Lao People's Dem. Rep.,USA,USA,asean_to_partner
2010,458,56,516245.6689999994,257333.57499999972,MYS,Malaysia,BEL,Belgium,asean_to_partner
2010,458,156,44555251.412,20531717.274999965,MYS,Malaysia,CHN,China,asean_to_partner
2010,458,251,2589451.3489999967,439273.60900000035,MYS,Malaysia,FRA,France,asean_to_partner
2010,458,276,7720784.244000004,1038482.896000004,MYS,Malaysia,DEU,Germany,asean_to_partner
2010,458,380,1131370.9760000014,378762.63699999906,MYS,Malaysia,ITA,Italy,asean_to_partner
2010,458,392,22203832.335000012,20063858.190999985,MYS,Malaysia,JPN,Japan,asean_to_partner
2010,458,410,9423006.229000011,11049421.306000004,MYS,Malaysia,KOR,Rep. of Korea,asean_to_partner
2010,458,528,6193091.715999998,2461136.468000003,MYS,Malaysia,NLD,Netherlands,asean_to_partner
2010,458,616,731871.2370000005,143047.45299999978,MYS,Malaysia,POL,Poland,asean_to_partner
2010,458,724,823638.7499999997,316652.91699999885,MYS,Malaysia,ESP,Spain,asean_to_partner
2010,458,752,569374.4409999995,273897.2500000002,MYS,Malaysia,SWE,Sweden,asean_to_partner
2010,458,826,3251590.478999999,865443.1700000007,MYS,Malaysia,GBR,United Kingdom,asean_to_partner
2010,458,842,25674252.43899999,3481453.390999996,MYS,Malaysia,USA,USA,asean_to_partner
2010,528,96,25161.512,9644.106000000022,NLD,Netherlands,BRN,Brunei Darussalam,partner_to_asean
2010,528,104,5219.142999999998,1998.702,NLD,Netherlands,MMR,Myanmar,partner_to_asean
2010,528,116,9791.378,6260.911000000008,NLD,Netherlands,KHM,Cambodia,partner_to_asean
2010,528,360,721907.9179999995,435848.066999999,NLD,Netherlands,IDN,Indonesia,partner_to_asean
2010,528,418,1757.4600000000005,128.10100000000003,NLD,Netherlands,LAO,Lao People's Dem. Rep.,partner_to_asean
2010,528,458,1091193.1430000025,700498.3240000022,NLD,Netherlands,MYS,Malaysia,partner_to_asean
2010,528,608,376037.8839999995,142683.64299999972,NLD,Netherlands,PHL,Philippines,partner_to_asean
2010,528,702,4982350.430999991,6155692.848000004,NLD,Netherlands,SGP,Singapore,partner_to_asean
2010,528,704,606605.9729999995,305786.3480000003,NLD,Netherlands,VNM,Viet Nam,partner_to_asean
2010,528,764,1072709.4739999992,419139.3579999999,NLD,Netherlands,THA,Thailand,partner_to_asean
2010,608,56,128341.86699999995,19791.024000000085,PHL,Philippines,BEL,Belgium,asean_to_partner
2010,608,156,16219634.19,18761716.631999925,PHL,Philippines,CHN,China,asean_to_partner
2010,608,251,690777.3109999999,56692.70500000001,PHL,Philippines,FRA,France,asean_to_partner
2010,608,276,3027643.984,382221.0800000003,PHL,Philippines,DEU,Germany,asean_to_partner
2010,608,380,430773.26500000025,74175.94200000008,PHL,Philippines,ITA,Italy,asean_to_partner
2010,608,392,7505950.838,4088702.8370000063,PHL,Philippines,JPN,Japan,asean_to_partner
2010,608,410,3488103.392000002,2130131.274000001,PHL,Philippines,KOR,Rep. of Korea,asean_to_partner
2010,608,528,1028230.607,436573.0059999994,PHL,Philippines,NLD,Netherlands,asean_to_partner
2010,608,616,151683.50200000007,11451.565000000011,PHL,Philippines,POL,Poland,asean_to_partner
2010,608,724,235533.06799999997,165759.2499999998,PHL,Philippines,ESP,Spain,asean_to_partner
2010,608,752,142983.63399999987,9849.491999999997,PHL,Philippines,SWE,Sweden,asean_to_partner
2010,608,826,763554.5360000009,79085.08700000004,PHL,Philippines,GBR,United Kingdom,asean_to_partner
2010,608,842,8050457.188999995,1242434.4950000006,PHL,Philippines,USA,USA,asean_to_partner
2010,616,96,318.39399999999995,20.588000000000008,POL,Poland,BRN,Brunei Darussalam,partner_to_asean
2010,616,104,1710.902,630.4159999999999,POL,Poland,MMR,Myanmar,partner_to_asean
2010,616,116,8669.850999999999,5046.720999999999,POL,Poland,KHM,Cambodia,partner_to_asean
2010,616,360,58003.988000000034,17315.99200000002,POL,Poland,IDN,Indonesia,partner_to_asean
2010,616,418,59.381,23.746,POL,Poland,LAO,Lao People's Dem. Rep.,partner_to_asean
2010,616,458,153518.01000000018,60488.66799999988,POL,Poland,MYS,Malaysia,partner_to_asean
2010,616,608,18295.194000000007,11145.133,POL,Poland,PHL,Philippines,partner_to_asean
2010,616,702,443793.8900000001,234677.76499999987,POL,Poland,SGP,Singapore,partner_to_asean
2010,616,704,146155.54499999995,105434.41699999991,POL,Poland,VNM,Viet Nam,partner_to_asean
2010,616,764,174699.43500000032,77090.07300000013,POL,Poland,THA,Thailand,partner_to_asean
2010,702,56,771137.3999999997,62187.2779999998,SGP,Singapore,BEL,Belgium,asean_to_partner
2010,702,156,25446713.547999933,11510714.226000017,SGP,Singapore,CHN,China,asean_to_partner
2010,702,251,4184840.1200000145,798488.959999996,SGP,Singapore,FRA,France,asean_to_partner
2010,702,276,7024213.421999989,138662.99500000014,SGP,Singapore,DEU,Germany,asean_to_partner
2010,702,380,372159.2939999999,108118.54299999987,SGP,Singapore,ITA,Italy,asean_to_partner
2010,702,392,10625136.348999985,1535095.5599999975,SGP,Singapore,JPN,Japan,asean_to_partner
2010,702,410,7943589.149000006,1586363.668,SGP,Singapore,KOR,Rep. of Korea,asean_to_partner
2010,702,528,4332191.888000004,294808.1009999991,SGP,Singapore,NLD,Netherlands,asean_to_partner
2010,702,616,720221.5109999996,50957.12199999996,SGP,Singapore,POL,Poland,asean_to_partner
2010,702,724,563564.7099999997,95785.23800000006,SGP,Singapore,ESP,Spain,asean_to_partner
2010,702,752,154971.07899999977,9035.859000000011,SGP,Singapore,SWE,Sweden,asean_to_partner
2010,702,826,4956726.160999998,602620.0460000047,SGP,Singapore,GBR,United Kingdom,asean_to_partner
2010,702,842,16714988.641000023,629633.9780000008,SGP,Singapore,USA,USA,asean_to_partner
2010,704,56,545182.2540000008,236146.2709999996,VNM,Viet Nam,BEL,Belgium,asean_to_partner
2010,704,156,7210405.63999999,27388161.844,VNM,Viet Nam,CHN,China,asean_to_partner
2010,704,251,1941038.7359999996,339244.20400000055,VNM,Viet Nam,FRA,France,asean_to_partner
2010,704,276,3881538.039000001,683834.5230000006,VNM,Viet Nam,DEU,Germany,asean_to_partner
2010,704,380,1228300.1909999987,263503.3959999996,VNM,Viet Nam,ITA,Italy,asean_to_partner
2010,704,392,8500554.781000001,4794182.915999995,VNM,Viet Nam,JPN,Japan,asean_to_partner
2010,704,410,3293874.0840000003,4973448.627999999,VNM,Viet Nam,KOR,Rep. of Korea,asean_to_partner
2010,704,528,1426798.3299999966,277454.7700000002,VNM,Viet Nam,NLD,Netherlands,asean_to_partner
2010,704,616,518648.0480000008,124655.78299999997,VNM,Viet Nam,POL,Poland,asean_to_partner
2010,704,724,1428232.659999998,256548.6799999995,VNM,Viet Nam,ESP,Spain,asean_to_partner
2010,704,752,300717.7759999994,49300.54100000002,VNM,Viet Nam,SWE,Sweden,asean_to_partner
2010,704,826,2211147.5250000027,344523.36900000024,VNM,Viet Nam,GBR,United Kingdom,asean_to_partner
2010,704,842,16241838.705999983,2699550.540999997,VNM,Viet Nam,USA,USA,asean_to_partner
2010,724,96,2581.849999999999,1627.7710000000004,ESP,Spain,BRN,Brunei Darussalam,partner_to_asean
2010,724,104,11400.411,1871.712,ESP,Spain,MMR,Myanmar,partner_to_asean
2010,724,116,8007.929000000001,6770.249999999999,ESP,Spain,KHM,Cambodia,partner_to_asean
2010,724,360,358674.4160000006,129449.44199999988,ESP,Spain,IDN,Indonesia,partner_to_asean
2010,724,418,611.8549999999998,115.71700000000004,ESP,Spain,LAO,Lao People's Dem. Rep.,partner_to_asean
2010,724,458,366917.1419999998,126122.63800000004,ESP,Spain,MYS,Malaysia,partner_to_asean
2010,724,608,217547.77700000015,91309.4100000001,ESP,Spain,PHL,Philippines,partner_to_asean
2010,724,702,1027125.874,275745.12199999945,ESP,Spain,SGP,Singapore,partner_to_asean
2010,724,704,284575.44299999997,124853.02999999988,ESP,Spain,VNM,Viet Nam,partner_to_asean
2010,724,764,491893.63999999984,155666.36499999973,ESP,Spain,THA,Thailand,partner_to_asean
