country,year,metric,value_usd_millions
Philippines,2013,Stock,10751.797110187814
Philippines,2014,Stock,11165.465162771285
Philippines,2015,Stock,12323.07995040691
Philippines,2016,Stock,13725.230428964222
Philippines,2017,Stock,15093.088513040388
Philippines,2018,Stock,14555.38693633152
Philippines,2019,Stock,15732.78487134219
Philippines,2020,Stock,16453.254056401816
Philippines,2021,Stock,16203.710099817581
Philippines,2022,Stock,16540.275856947177
Philippines,2023,Stock,17986.777299660538
Philippines,2024,Stock,17927.488845145355
Vietnam,2010,Stock,4500.59055652304
Vietnam,2011,Stock,6369.868796112273
Vietnam,2012,Stock,8415.299465820703
Vietnam,2013,Stock,10789.796719787606
Vietnam,2014,Stock,12009.365121460769
Vietnam,2015,Stock,13156.466290458397
Vietnam,2016,Stock,14481.082589309199
Vietnam,2017,Stock,15661.675165858853
Vietnam,2018,Stock,16901.183353713768
Vietnam,2019,Stock,19580.852461447546
Vietnam,2020,Stock,22258.442427407335
Vietnam,2021,Stock,24679.274416287353
Vietnam,2022,Stock,24813.71426311488
Vietnam,2023,Stock,29026.88359944837
Vietnam,2024,Stock,28481.688116004818
