country_iso3,country,year,BX.KLT.DINV.CD.WD,NE.TRD.GNFS.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD,NY.GDP.PCAP.CD,SP.POP.TOTL
BRN,Brunei Darussalam,2000,549607250.0,87.0553329877697,6570999087.56742,12244033143.1515,20130.2572346624,326424.0
BRN,Brunei Darussalam,2001,60694643.6567848,91.0997876196857,6096155767.38145,12423538115.8353,18287.8272281914,333345.0
BRN,Brunei Darussalam,2002,229671955.675395,93.2161814722477,6333082875.56937,12915688987.5154,18621.2922577525,340099.0
BRN,Brunei Darussalam,2003,123820911.146426,89.085616098756,7167725261.92713,13378513545.1324,20677.9001143188,346637.0
BRN,Brunei Darussalam,2004,113205866.961457,84.8821666638192,8619178773.51458,13392499225.471,24423.0946995548,352911.0
BRN,Brunei Darussalam,2005,175068516.562807,81.6201140155232,10547202620.5286,13391973527.4748,29386.2703822862,358916.0
BRN,Brunei Darussalam,2006,87839128.3133848,81.5709547429689,12644616418.691,13940831854.3091,34674.7995236452,364663.0
BRN,Brunei Darussalam,2007,257635717.488309,81.0114146368958,13432029484.4012,13416151463.6479,36217.3290706015,370873.0
BRN,Brunei Darussalam,2008,222184549.489168,89.7454253523344,15926456515.0049,12892826165.4277,42156.5685838672,377793.0
BRN,Brunei Darussalam,2009,325586827.786628,90.2870882587894,11912904509.8582,12647829762.7913,30946.4673773828,384952.0
BRN,Brunei Darussalam,2010,480722550.0,95.3715460226132,13707121038.4383,12994552864.5932,34937.5555357155,392332.0
BRN,Brunei Darussalam,2011,691170270.0,99.5379309038179,18524791062.657,13481121714.8966,46382.8274255349,399389.0
BRN,Brunei Darussalam,2012,864905530.0,105.640902140819,19048443340.7732,13604222581.2368,46968.5971164922,405557.0
BRN,Brunei Darussalam,2013,775642000.0,110.939599584216,18094148098.6536,13315162382.5279,44003.0644273461,411202.0
BRN,Brunei Darussalam,2014,573906207.836338,102.421000963035,17097797386.0336,12981233119.3701,41026.5084247957,416750.0
BRN,Brunei Darussalam,2015,171289167.823994,89.8961882533585,12930296870.1247,12930296870.1247,30625.1287744656,422212.0
BRN,Brunei Darussalam,2016,-150550827.310312,87.319801332806,11400266044.6651,12609894752.9469,26663.2972950602,427564.0
BRN,Brunei Darussalam,2017,467927550.316566,85.1768604269985,12128168045.1245,12777445780.0952,28024.3824580252,432772.0
BRN,Brunei Darussalam,2018,516202620.629746,93.8980617666778,13566908391.0895,12784137461.5724,30988.1190267227,437810.0
BRN,Brunei Darussalam,2019,373256767.246304,108.509658357959,13469235364.7032,13278735842.9555,30426.5730656528,442680.0
BRN,Brunei Darussalam,2020,565542275.429332,110.291003658452,12005799653.9835,13429260053.625,26834.3592233943,447404.0
BRN,Brunei Darussalam,2021,206462739.392454,147.123112375318,14006496617.4458,13215632407.1015,31006.9636289785,451721.0
BRN,Brunei Darussalam,2022,-290169984.940837,146.973965879597,16681536466.7183,13000438095.7254,36632.9280952155,455370.0
BRN,Brunei Darussalam,2023,-55927970.3793758,136.86343465048,15095084656.1634,13147036779.4979,32890.5491812019,458949.0
BRN,Brunei Darussalam,2024,29063018.6489884,132.587439642245,15340808592.48,13679822692.2189,33153.4738913513,462721.0
CHN,China,2000,42095300000.0,39.0109424774998,1223754919971.05,2825096197799.54,969.199513696287,1262645000.0
CHN,China,2001,47053000000.0,38.0826469518334,1355036590251.52,3059936242478.58,1065.40597574519,1271850000.0
CHN,China,2002,53073618897.4036,42.1944423387413,1489821682050.54,3342778183071.46,1163.55957673426,1280400000.0
CHN,China,2003,57900937467.3864,51.0774801301803,1683903309843.85,3681006926650.74,1306.97245408557,1288400000.0
CHN,China,2004,68117272181.2194,58.6403340408439,1984196551300.44,4053944733453.66,1530.92726215723,1296075000.0
CHN,China,2005,104108693867.085,61.3600749408237,2317551298052.05,4518455387849.41,1777.64496828464,1303720000.0
CHN,China,2006,124082035618.505,63.5695798621627,2791498472804.33,5091154930758.42,2129.25696999613,1311020000.0
CHN,China,2007,156249335203.201,61.2664640006176,3604055822571.63,5811552614974.09,2734.72709877693,1317885000.0
CHN,China,2008,171534650311.568,56.7111330003209,4667346414521.95,6373544042638.01,3523.44302065213,1324655000.0
CHN,China,2009,131057052869.5,44.4197644331119,5189577094997.58,6972829250985.1,3898.24459158811,1331260000.0
CHN,China,2010,243703434558.177,49.8540722338977,6192564874453.29,7711689202853.29,4629.24551710077,1337705000.0
