country_iso3,country_name,country_group,year,metric,unit,value
BRN,Brunei Darussalam,ASEAN,2011,trade_pct_gdp,% of GDP,99.5379309038179
BRN,Brunei Darussalam,ASEAN,2012,fdi_net_inflow_usd,USD,864905530.0
BRN,Brunei Darussalam,ASEAN,2012,gdp_constant_2015_usd,USD constant 2015,13604222581.2368
BRN,Brunei Darussalam,ASEAN,2012,gdp_current_usd,USD,19048443340.7732
BRN,Brunei Darussalam,ASEAN,2012,gdp_per_capita_usd,USD,46968.5971164922
BRN,Brunei Darussalam,ASEAN,2012,population,persons,405557.0
BRN,Brunei Darussalam,ASEAN,2012,trade_pct_gdp,% of GDP,105.640902140819
BRN,Brunei Darussalam,ASEAN,2013,fdi_net_inflow_usd,USD,775642000.0
BRN,Brunei Darussalam,ASEAN,2013,gdp_constant_2015_usd,USD constant 2015,13315162382.5279
BRN,Brunei Darussalam,ASEAN,2013,gdp_current_usd,USD,18094148098.6536
BRN,Brunei Darussalam,ASEAN,2013,gdp_per_capita_usd,USD,44003.0644273461
BRN,Brunei Darussalam,ASEAN,2013,population,persons,411202.0
BRN,Brunei Darussalam,ASEAN,2013,trade_pct_gdp,% of GDP,110.939599584216
BRN,Brunei Darussalam,ASEAN,2014,fdi_net_inflow_usd,USD,573906207.836338
BRN,Brunei Darussalam,ASEAN,2014,gdp_constant_2015_usd,USD constant 2015,12981233119.3701
BRN,Brunei Darussalam,ASEAN,2014,gdp_current_usd,USD,17097797386.0336
BRN,Brunei Darussalam,ASEAN,2014,gdp_per_capita_usd,USD,41026.5084247957
BRN,Brunei Darussalam,ASEAN,2014,population,persons,416750.0
BRN,Brunei Darussalam,ASEAN,2014,trade_pct_gdp,% of GDP,102.421000963035
BRN,Brunei Darussalam,ASEAN,2015,fdi_net_inflow_usd,USD,171289167.823994
BRN,Brunei Darussalam,ASEAN,2015,gdp_constant_2015_usd,USD constant 2015,12930296870.1247
BRN,Brunei Darussalam,ASEAN,2015,gdp_current_usd,USD,12930296870.1247
BRN,Brunei Darussalam,ASEAN,2015,gdp_per_capita_usd,USD,30625.1287744656
BRN,Brunei Darussalam,ASEAN,2015,population,persons,422212.0
BRN,Brunei Darussalam,ASEAN,2015,trade_pct_gdp,% of GDP,89.8961882533585
