AidData Record ID,Recommended For Aggregates,Umbrella,Recipient,Recipient ISO-3,Commitment Year,Status,Flow Class,Sector Code,Sector Name,Funding Agencies,Amount (Constant USD 2021),Amount (Nominal USD),Adjusted Amount (Constant USD 2021)
62385,No,No,Malaysia,MYS,2009,Pipeline: Pledge,OOF-like,320,"INDUSTRY, MINING, CONSTRUCTION",China Development Bank (CDB),25038507.5047407,16670000.0,25038507.5047407
66615,Yes,No,Malaysia,MYS,2009,Completion,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),495663315.930681,330000000.0,495663315.930681
73574,Yes,No,Malaysia,MYS,2009,Completion,OOF-like,320,"INDUSTRY, MINING, CONSTRUCTION",Export-Import Bank of China (China Eximbank),2253015.07241218,1500000.0,2253015.07241218
35601,Yes,No,Myanmar,MMR,2009,Completion,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),87726197.9163215,58405866.2038138,87726197.9163215
38986,Yes,No,Myanmar,MMR,2009,Completion,ODA-like,720,EMERGENCY RESPONSE,China Ministry of Commerce,12312448.8303609,8197314.55492124,12312448.8303609
38987,Yes,No,Myanmar,MMR,2009,Completion,ODA-like,110,EDUCATION,Chinese Embassy,16522.1105310227,11000.0,16522.1105310227
63107,Yes,No,Myanmar,MMR,2009,Completion,ODA-like,210,TRANSPORT AND STORAGE,Unspecified Chinese Government Institution,,,
65349,No,Yes,Myanmar,MMR,2009,Pipeline: Commitment,ODA-like,998,UNALLOCATED/UNSPECIFIED,Unspecified Chinese Government Institution,,,
65983,No,Yes,Myanmar,MMR,2009,Pipeline: Pledge,OOF-like,430,OTHER MULTISECTOR,Export-Import Bank of China (China Eximbank),,,
73313,Yes,No,Myanmar,MMR,2009,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",China Development Bank (CDB),387269258.657514,257833999.91387,387269258.657514
38251,Yes,No,Philippines,PHL,2009,Completion,OOF-like,310,"AGRICULTURE, FORESTRY, FISHING",Export-Import Bank of China (China Eximbank),133904195.803697,89150000.0,133904195.803697
43808,Yes,No,Philippines,PHL,2009,Completion,OOF-like,110,EDUCATION,Hanban (Confucius Institute Headquarters),,,
49872,Yes,No,Philippines,PHL,2009,Completion,ODA-like,720,EMERGENCY RESPONSE,Unspecified Chinese Government Institution,15020.1004827479,10000.0,15020.1004827479
63020,Yes,No,Philippines,PHL,2009,Completion,OOF-like,220,COMMUNICATIONS,China CITIC Bank Corporation Limited,75100502.4137396,50000000.0,75100502.4137396
64167,Yes,No,Philippines,PHL,2009,Completion,OOF-like,110,EDUCATION,Chinese Embassy,,,
68848,Yes,No,Philippines,PHL,2009,Completion,OOF-like,110,EDUCATION,Chinese Embassy,,,
34590,Yes,No,Thailand,THA,2009,Completion,ODA-like,120,HEALTH,Unspecified Chinese Government Institution,174995.624995896,116507.626028798,174995.624995896
38906,Yes,No,Thailand,THA,2009,Completion,ODA-like,120,HEALTH,Overseas Chinese Affairs Office,,,
43930,Yes,No,Thailand,THA,2009,Completion,OOF-like,110,EDUCATION,Hanban (Confucius Institute Headquarters),,,
34616,Yes,No,Viet Nam,VNM,2009,Implementation,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),375502512.068698,250000000.0,375502512.068698
35132,Yes,No,Viet Nam,VNM,2009,Completion,ODA-like,120,HEALTH,Unspecified Chinese Government Institution,,,
38383,Yes,No,Viet Nam,VNM,2009,Completion,OOF-like,230,ENERGY,Export-Import Bank of China (China Eximbank),268108793.61705,178500000.0,268108793.61705
