t,asean_country,partner_group,direction,trade_usd_thousands,trade_usd_millions
2010,BRN,CHN,asean_to_partner,643387.0720000002,643.3870720000002
2010,BRN,CHN,partner_to_asean,240148.18600000071,240.14818600000072
2010,BRN,EU,asean_to_partner,6698.431000000001,6.698431000000001
2010,BRN,EU,partner_to_asean,153143.46000000002,153.14346000000003
2010,BRN,GBR,asean_to_partner,29027.740000000013,29.027740000000012
2010,BRN,GBR,partner_to_asean,255601.01899999988,255.6010189999999
2010,BRN,JPN,asean_to_partner,3767381.470000003,3767.381470000003
2010,BRN,JPN,partner_to_asean,252696.93999999983,252.69693999999984
2010,BRN,KOR,asean_to_partner,1431857.0349999997,1431.8570349999998
2010,BRN,KOR,partner_to_asean,87829.76600000003,87.82976600000003
2010,BRN,USA,asean_to_partner,18404.567000000003,18.404567000000004
2010,BRN,USA,partner_to_asean,248941.215,248.941215
2010,IDN,CHN,asean_to_partner,20188754.36500001,20188.754365000008
2010,IDN,CHN,partner_to_asean,20977803.804000087,20977.803804000087
2010,IDN,EU,asean_to_partner,17437614.725999985,17437.614725999985
2010,IDN,EU,partner_to_asean,7808638.318999997,7808.638318999997
2010,IDN,GBR,asean_to_partner,2396956.428999996,2396.9564289999958
2010,IDN,GBR,partner_to_asean,951539.4150000012,951.5394150000012
2010,IDN,JPN,asean_to_partner,29310262.146000028,29310.262146000026
2010,IDN,JPN,partner_to_asean,15284282.824999996,15284.282824999995
2010,IDN,KOR,asean_to_partner,13724295.20099998,13724.29520099998
2010,IDN,KOR,partner_to_asean,7964956.666999988,7964.956666999989
2010,IDN,USA,asean_to_partner,17829318.533999998,17829.318533999998
2010,IDN,USA,partner_to_asean,9422591.132000005,9422.591132000005
2010,KHM,CHN,asean_to_partner,142358.80599999998,142.358806
2010,KHM,CHN,partner_to_asean,1496286.527000001,1496.286527000001
2010,KHM,EU,asean_to_partner,1434019.78,1434.01978
2010,KHM,EU,partner_to_asean,218941.35799999995,218.94135799999995
2010,KHM,GBR,asean_to_partner,634054.0959999999,634.054096
2010,KHM,GBR,partner_to_asean,9490.922999999992,9.490922999999992
2010,KHM,JPN,asean_to_partner,245406.60200000004,245.40660200000005
2010,KHM,JPN,partner_to_asean,226855.707,226.855707
2010,KHM,KOR,asean_to_partner,50216.28099999999,50.21628099999999
2010,KHM,KOR,partner_to_asean,382996.0749999999,382.9960749999999
2010,KHM,USA,asean_to_partner,3059701.1319999984,3059.7011319999983
2010,KHM,USA,partner_to_asean,190805.148,190.80514799999997
2010,LAO,CHN,asean_to_partner,703719.5099999999,703.7195099999999
2010,LAO,CHN,partner_to_asean,475700.4719999984,475.7004719999984
2010,LAO,EU,asean_to_partner,165301.053,165.30105300000002
2010,LAO,EU,partner_to_asean,118167.13600000001,118.16713600000001
2010,LAO,GBR,asean_to_partner,95809.68,95.80967999999999
2010,LAO,GBR,partner_to_asean,6090.821,6.090821
2010,LAO,JPN,asean_to_partner,45922.35200000001,45.92235200000001
2010,LAO,JPN,partner_to_asean,75993.95699999997,75.99395699999997
2010,LAO,KOR,asean_to_partner,20269.43499999999,20.26943499999999
2010,LAO,KOR,partner_to_asean,100616.82900000004,100.61682900000004
2010,LAO,USA,asean_to_partner,69675.98399999998,69.67598399999999
2010,LAO,USA,partner_to_asean,13565.312999999998,13.565312999999998
2010,MMR,CHN,asean_to_partner,990237.7069999996,990.2377069999995
2010,MMR,CHN,partner_to_asean,3073617.3070000084,3073.6173070000086
2010,MMR,EU,asean_to_partner,163218.562,163.218562
2010,MMR,EU,partner_to_asean,119807.03000000001,119.80703000000001
2010,MMR,GBR,asean_to_partner,70199.35099999998,70.19935099999998
2010,MMR,GBR,partner_to_asean,15221.177,15.221176999999999
2010,MMR,JPN,asean_to_partner,408347.11499999993,408.3471149999999
2010,MMR,JPN,partner_to_asean,374292.5350000002,374.2925350000002
2010,MMR,KOR,asean_to_partner,173389.75999999998,173.38975999999997
2010,MMR,KOR,partner_to_asean,631674.9160000009,631.6749160000008
2010,MMR,USA,asean_to_partner,1692.53,1.6925299999999999
2010,MMR,USA,partner_to_asean,30102.109999999982,30.102109999999982
2010,MYS,CHN,asean_to_partner,44555251.412,44555.251412
