country_iso3,country_name,mineral,year,production,unit,world_total,share_of_world_pct
RUS,Russia,Tin,2024,3260.0,metric tons,294000.0,1.11
USA,United States,Tin,2024,,metric tons,294000.0,
VNM,Vietnam,Tin,2024,11000.0,metric tons,294000.0,3.74
AUS,Australia,Tin,2025,12000.0,metric tons,290000.0,4.14
BOL,Bolivia,Tin,2025,15000.0,metric tons,290000.0,5.17
BRA,Brazil,Tin,2025,28000.0,metric tons,290000.0,9.66
CHN,China,Tin,2025,71000.0,metric tons,290000.0,24.48
COD,Congo (Kinshasa),Tin,2025,27000.0,metric tons,290000.0,9.31
IDN,Indonesia,Tin,2025,61000.0,metric tons,290000.0,21.03
LAO,Laos,Tin,2025,1800.0,metric tons,290000.0,0.62
MMR,Burma,Tin,2025,12000.0,metric tons,290000.0,4.14
MYS,Malaysia,Tin,2025,5000.0,metric tons,290000.0,1.72
PER,Peru,Tin,2025,33000.0,metric tons,290000.0,11.38
RUS,Russia,Tin,2025,4500.0,metric tons,290000.0,1.55
USA,United States,Tin,2025,,metric tons,290000.0,
VNM,Vietnam,Tin,2025,11000.0,metric tons,290000.0,3.79
