country_iso3,year,partner_group,direction,metric,value_usd_millions,source
BRN,2014,CHN,partner_to_asean,trade_goods,599.8690369999999,BACI HS07 V202601
BRN,2014,EU,partner_to_asean,fdi_flow,-51.053467879740005,OECD BMD4 (fdi_flow)
BRN,2014,EU,partner_to_asean,fdi_position,1.3391522999999999,OECD BMD4 (fdi_position)
BRN,2014,EU,asean_to_partner,trade_goods,293.87867500000004,BACI HS07 V202601
BRN,2014,EU,partner_to_asean,trade_goods,324.4108100000001,BACI HS07 V202601
BRN,2014,GBR,asean_to_partner,trade_goods,121.49845500000002,BACI HS07 V202601
BRN,2014,GBR,partner_to_asean,trade_goods,321.0505739999998,BACI HS07 V202601
BRN,2014,JPN,asean_to_partner,trade_goods,3758.752133,BACI HS07 V202601
BRN,2014,JPN,partner_to_asean,trade_goods,149.44165899999996,BACI HS07 V202601
BRN,2014,KOR,partner_to_asean,fdi_flow,0.98196298,OECD BMD4 (fdi_flow)
BRN,2014,KOR,partner_to_asean,fdi_position,5.2357168,OECD BMD4 (fdi_position)
BRN,2014,KOR,asean_to_partner,trade_goods,1285.9887080000008,BACI HS07 V202601
BRN,2014,KOR,partner_to_asean,trade_goods,319.7038590000001,BACI HS07 V202601
BRN,2014,USA,partner_to_asean,fdi_flow,-40.0,BEA USDIA
BRN,2014,USA,partner_to_asean,fdi_position,11.0,BEA USDIA
BRN,2014,USA,asean_to_partner,trade_goods,25.260513000000017,BACI HS07 V202601
BRN,2014,USA,partner_to_asean,trade_goods,326.752522,BACI HS07 V202601
BRN,2015,CHN,partner_to_asean,china_commercial_construction,530.0,CGIT 2023-Fall (>=$95M)
BRN,2015,CHN,partner_to_asean,china_dev_finance,218.4284941071511,AidData GCDF 3.0 (constant 2021 USD)
BRN,2015,CHN,asean_to_partner,trade_goods,104.92321800000003,BACI HS07 V202601
BRN,2015,CHN,partner_to_asean,trade_goods,507.0728629999987,BACI HS07 V202601
BRN,2015,EU,partner_to_asean,fdi_flow,36.141985579590695,OECD BMD4 (fdi_flow)
BRN,2015,EU,partner_to_asean,fdi_position,137.9259662602075,OECD BMD4 (fdi_position)
BRN,2015,EU,asean_to_partner,trade_goods,8.243148999999999,BACI HS07 V202601
BRN,2015,EU,partner_to_asean,trade_goods,457.701471,BACI HS07 V202601
BRN,2015,GBR,asean_to_partner,trade_goods,56.71656599999998,BACI HS07 V202601
BRN,2015,GBR,partner_to_asean,trade_goods,150.5053159999999,BACI HS07 V202601
BRN,2015,JPN,asean_to_partner,trade_goods,2168.8781770000014,BACI HS07 V202601
